id,lodging_revenue,other_revenue,total_revenue
981,168.0,30.0,198.0
983,178.0,16.0,194.0
985,237.0,123.0,360.0
987,227.0,28.5,255.5
989,1660.0,345.5,2005.5
990,790.0,772.0,1562.0
991,490.0,80.0,570.0
993,158.0,21.5,179.5
994,632.0,92.8,724.8
995,100.0,26.0,126.0
998,158.0,53.0,211.0
1000,135.0,4.0,139.0
1002,316.0,26.0,342.0
1003,60.8,23.0,83.8
1004,172.8,42.0,214.8
1006,144.0,220.5,364.5
1008,429.0,236.0,665.0
1010,376.0,44.5,420.5
1011,308.0,64.0,372.0
1013,470.0,33.0,503.0
1014,237.0,0.0,237.0
1016,79.0,11.5,90.5
1018,230.0,70.0,300.0
1020,168.0,37.5,205.5
1022,230.0,116.0,346.0
1024,138.0,42.0,180.0
1026,109.0,21.0,130.0
1029,285.0,70.0,355.0
1031,170.94,65.0,235.94
1032,126.0,28.0,154.0
1034,378.0,91.5,469.5
1035,266.9,40.6,307.5
1037,415.0,115.5,530.5
1039,150.66,44.5,195.16
1040,632.0,52.0,684.0
1041,174.0,87.5,261.5
1043,207.0,59.5,266.5
1045,187.6,74.4,262.0
1047,94.0,26.0,120.0
1049,116.0,37.5,153.5
1051,73.0,7.0,80.0
1052,54.0,7.0,61.0
1053,213.0,15.0,228.0
1057,251.5,190.0,441.5
1061,334.5,95.0,429.5
1063,86.0,42.5,128.5
1065,86.0,39.5,125.5
1067,411.6,216.4,628.0
1069,284.55,154.8,439.35
1070,239.0,34.0,273.0
1073,454.5,448.5,903.0
1075,116.14,48.5,164.64
1077,0.0,0.0,0.0
1078,156.0,45.0,201.0
1081,216.0,63.0,279.0
1084,180.0,51.0,231.0
1087,156.0,69.0,225.0
1088,58.07,23.0,81.07
1089,156.6,38.4,195.0
1090,112.0,26.58,138.57999999999998
1093,184.5,21.0,205.5
1094,553.5,63.0,616.5
1095,129.0,36.0,165.0
1097,155.88,42.0,197.88
1100,196.36,8.0,204.36
1102,73.0,7.0,80.0
1103,158.0,72.0,230.0
1105,180.0,42.0,222.0
1107,176.0,460.14,636.14
1108,144.0,124.5,268.5
1110,214.88,17.0,231.88
1114,192.0,72.0,264.0
1116,192.0,208.0,400.0
1118,192.0,130.0,322.0
1120,192.0,206.0,398.0
1122,192.0,156.0,348.0
1124,192.0,77.5,269.5
1126,192.0,114.0,306.0
1128,349.4,134.6,484.0
1130,250.0,68.6,318.6
1131,192.0,166.0,358.0
1133,192.0,72.0,264.0
1135,192.0,72.0,264.0
1137,192.0,77.0,269.0
1139,0.0,12.0,12.0
1140,0.0,65.5,65.5
1141,192.0,72.0,264.0
1143,192.0,75.5,267.5
1145,192.0,113.0,305.0
1147,192.0,72.0,264.0
1149,385.0,70.0,455.0
1151,176.0,38.5,214.5
1152,0.0,12.0,12.0
1153,192.0,174.5,366.5
1155,192.0,72.0,264.0
1157,192.0,117.0,309.0
1159,192.0,149.0,341.0
1161,192.0,85.0,277.0
1163,192.0,72.0,264.0
1165,192.0,72.0,264.0
1167,192.0,72.0,264.0
1169,192.0,88.5,280.5
1171,192.0,188.0,380.0
1173,276.0,119.0,395.0
1174,276.0,122.0,398.0
1177,192.0,72.0,264.0
1179,192.0,96.0,288.0
1181,192.0,72.0,264.0
1182,192.0,72.0,264.0
1184,192.0,79.0,271.0
1186,192.0,82.0,274.0
1188,176.0,66.5,242.5
1189,176.0,36.0,212.0
1190,73.0,7.0,80.0
1191,155.88,44.5,200.38
1194,0.0,13.99,13.99
1195,274.0,83.0,357.0
1198,202.56,56.0,258.56
1200,140.0,37.0,177.0
1202,202.56,56.0,258.56
1204,168.0,9.0,177.0
1206,192.0,63.0,255.0
1209,112.44,14.0,126.44
1210,111.0,28.0,139.0
1212,73.0,25.0,98.0
1213,129.0,135.0,264.0
1215,612.0,738.0,1350.0
1217,204.0,59.0,263.0
1219,612.0,1189.5,1801.5
1221,204.0,56.0,260.0
1223,240.88,64.0,304.88
1224,300.8,60.0,360.8
1227,77.0,14.0,91.0
1229,232.28,105.5,337.78
1231,115.4,30.5,145.9
1232,285.9,141.8,427.7
1233,73.0,7.0,80.0
1234,192.0,28.5,220.5
1235,73.0,7.0,80.0
1236,168.0,64.0,232.0
1238,227.52,8.0,235.52
1241,548.0,240.0,788.0
1245,240.3,78.0,318.3
1248,60.22,7.0,67.22
1249,60.22,7.0,67.22
1250,60.22,7.0,67.22
1252,261.0,64.0,325.0
1254,290.0,81.5,371.5
1256,290.0,74.0,364.0
1258,290.0,92.0,382.0
1260,305.75,123.0,428.75
1261,268.4,25.0,293.4
1263,123.0,94.1,217.1
1265,207.98,96.0,303.98
1267,348.0,84.0,432.0
1268,0.0,1214.5,1214.5
1269,55.08,2.0,57.08
1271,138.0,120.5,258.5
1273,0.0,2.0,2.0
1275,245.0,85.5,330.5
1277,230.0,70.0,300.0
1279,210.0,86.5,296.5
1280,92.0,81.0,173.0
1282,77.0,14.0,91.0
1283,661.5,179.49,840.99
1284,79.0,2.0,81.0
1286,219.0,18.0,237.0
1287,219.0,18.0,237.0
1288,140.0,56.5,196.5
1290,588.0,86.5,674.5
1292,219.0,19.0,238.0
1293,219.0,19.0,238.0
1294,216.0,63.0,279.0
1297,158.0,11.5,169.5
1299,474.0,84.0,558.0
1301,158.0,69.5,227.5
1303,158.0,62.5,220.5
1305,168.0,188.5,356.5
1307,150.66,141.0,291.65999999999997
1308,151.8,100.2,252.0
1311,129.0,180.0,309.0
1312,86.0,64.5,150.5
1314,280.0,117.44,397.44
1315,146.0,14.0,160.0
1316,129.0,85.0,214.0
1317,113.0,14.0,127.0
1318,95.8,56.2,152.0
1319,83.0,14.0,97.0
1321,92.0,35.5,127.5
1323,64.5,23.0,87.5
1325,64.5,41.0,105.5
1326,60.8,21.5,82.3
1330,222.0,113.0,335.0
1332,222.0,112.0,334.0
1334,176.0,28.0,204.0
1335,60.83,174.0,234.82999999999998
1337,113.0,14.0,127.0
1339,377.04,44.5,421.54
1340,83.0,50.0,133.0
1341,94.0,114.5,208.5
1343,158.0,259.0,417.0
1344,60.83,5.0,65.83
1345,160.56,42.0,202.56
1346,486.64,14.0,500.64
1348,144.0,54.0,198.0
1351,64.5,113.0,177.5
1352,83.0,14.0,97.0
1354,83.0,55.0,138.0
1356,83.0,14.0,97.0
1358,166.0,80.0,246.0
1359,83.0,14.0,97.0
1361,129.0,67.0,196.0
1363,264.0,49.0,313.0
1365,129.0,100.7,229.7
1367,58.4,22.0,80.4
1368,594.0,366.5,960.5
1372,137.1,34.0,171.1
1376,202.8,138.6,341.4
1380,111.0,53.5,164.5
1381,249.0,187.97,436.97
1383,116.0,73.0,189.0
1385,140.0,39.0,179.0
1387,196.36,27.5,223.86
1388,168.0,30.0,198.0
1390,111.0,91.0,202.0
1391,304.0,243.0,547.0
1394,143.25,61.0,204.25
1396,184.8,42.0,226.8
1398,249.4,108.3,357.7
1401,202.5,36.0,238.5
1406,116.0,88.5,204.5
1408,121.66,24.0,145.66
1410,170.64,49.4,220.04
1411,644.9,172.5,817.4
1412,210.0,36.0,246.0
1414,129.0,81.0,210.0
1416,59.0,31.0,90.0
1417,116.0,64.0,180.0
1419,268.6,316.5,585.1
1423,170.73,27.0,197.73
1425,79.0,74.0,153.0
1427,172.0,111.0,283.0
1429,163.71,42.0,205.71
1431,166.0,46.0,212.0
1433,218.0,128.49,346.49
1435,249.0,42.0,291.0
1437,184.0,90.0,274.0
1439,339.0,49.5,388.5
1441,705.0,207.5,912.5
1442,129.0,42.0,171.0
1444,112.2,54.31,166.51
1445,172.0,56.0,228.0
1447,129.0,126.0,255.0
1448,210.0,36.0,246.0
1451,0.0,59.94,59.94
1452,199.52,66.5,266.02
1454,129.0,77.0,206.0
1456,213.87,139.5,353.37
1458,78.0,49.0,127.0
1459,79.0,14.0,93.0
1461,60.8,23.0,83.8
1463,262.0,56.0,318.0
1466,290.0,214.5,504.5
1468,262.0,56.0,318.0
1469,172.0,58.5,230.5
1471,172.0,56.0,228.0
1473,232.28,81.3,313.58
1475,56.98,1.0,57.98
1476,146.0,14.0,160.0
1477,120.44,66.5,186.94
1478,162.0,192.1,354.1
1479,59.3,33.5,92.8
1480,138.0,121.5,259.5
1482,190.0,54.5,244.5
1485,218.28,56.0,274.28
1487,403.2,357.8,761.0
1489,215.0,217.94,432.94
1491,230.0,124.0,354.0
1493,150.0,29.0,179.0
1494,172.0,141.0,313.0
1496,389.0,63.0,452.0
1499,210.0,107.5,317.5
1501,168.0,82.5,250.5
1504,187.62,56.0,243.62
1506,347.2,99.0,446.2
1509,584.0,103.9,687.9
1510,211.62,48.0,259.62
1512,146.0,37.0,183.0
1513,2101.0,246.85,2347.85
1514,280.0,110.0,390.0
1516,160.56,42.0,202.56
1518,54.57,17.0,71.57
1519,175.2,65.3,240.5
1520,79.0,25.0,104.0
1522,94.0,15.0,109.0
1525,365.0,240.5,605.5
1527,140.0,30.0,170.0
1529,79.0,13.0,92.0
1531,79.0,0.0,79.0
1532,73.0,9.5,82.5
1533,0.0,0.0,0.0
1535,146.0,14.0,160.0
1536,184.0,56.0,240.0
1538,129.0,135.0,264.0
1540,330.0,368.0,698.0
1543,207.0,56.0,263.0
1545,74.0,9.0,83.0
1546,74.0,7.0,81.0
1547,74.0,7.0,81.0
1548,74.0,7.0,81.0
1549,74.0,7.0,81.0
1550,74.0,9.0,83.0
1551,74.0,7.0,81.0
1552,74.0,7.0,81.0
1553,74.0,7.0,81.0
1554,74.0,7.0,81.0
1555,74.0,7.0,81.0
1556,74.0,7.0,81.0
1557,74.0,7.0,81.0
1558,74.0,7.0,81.0
1559,74.0,9.0,83.0
1560,74.0,7.0,81.0
1561,74.0,9.0,83.0
1562,74.0,7.0,81.0
1563,74.0,7.0,81.0
1564,74.0,7.0,81.0
1565,74.0,9.0,83.0
1566,74.0,9.0,83.0
1567,74.0,38.0,112.0
1569,74.0,7.0,81.0
1570,74.0,9.5,83.5
1571,74.0,7.0,81.0
1572,74.0,7.0,81.0
1573,74.0,7.0,81.0
1574,74.0,7.0,81.0
1575,74.0,7.0,81.0
1576,74.0,9.0,83.0
1577,74.0,7.0,81.0
1578,74.0,7.0,81.0
1579,74.0,7.0,81.0
1580,74.0,7.0,81.0
1581,74.0,7.0,81.0
1582,74.0,7.0,81.0
1583,74.0,7.0,81.0
1584,74.0,7.0,81.0
